05/08/2021 17:37:04.830191;05/08/2021 17:37:14.840891;0
05/08/2021 17:37:41.493748;05/08/2021 17:37:51.501445;1
05/08/2021 17:37:59.289392;05/08/2021 17:38:09.297495;2
05/08/2021 17:38:16.031447;05/08/2021 17:38:26.041425;3
05/08/2021 17:38:33.521236;05/08/2021 17:38:43.531762;4
05/08/2021 17:38:51.761883;05/08/2021 17:39:01.769371;5
05/08/2021 17:39:10.534865;05/08/2021 17:39:20.545357;6
05/08/2021 17:39:28.300766;05/08/2021 17:39:38.311811;7
05/08/2021 17:39:45.606971;05/08/2021 17:39:55.617409;8
05/08/2021 17:40:02.338128;05/08/2021 18:31:34.754418;9
05/08/2021 18:31:40.712357;05/08/2021 18:31:50.722395;10
05/08/2021 18:31:56.794195;05/08/2021 18:32:06.804816;11
05/08/2021 18:32:13.848205;05/08/2021 18:32:23.858769;12
05/08/2021 18:32:30.071389;05/08/2021 18:32:40.078794;13
05/08/2021 18:32:48.200770;05/08/2021 18:32:58.211393;14
05/08/2021 18:33:05.667568;05/08/2021 18:33:15.674385;15
05/08/2021 18:33:24.677970;05/08/2021 18:33:34.686667;0
05/08/2021 18:33:46.942289;05/08/2021 18:33:56.950407;1
05/08/2021 18:34:04.765176;05/08/2021 18:34:14.774399;2
05/08/2021 18:34:33.320797;05/08/2021 18:34:43.330373;3
05/08/2021 18:34:49.919319;05/08/2021 18:34:59.926392;4
05/08/2021 18:35:08.905419;05/08/2021 18:35:18.914352;5
05/08/2021 18:35:28.181348;05/08/2021 18:35:38.190332;6
05/08/2021 18:35:45.867850;05/08/2021 18:35:55.878379;7
05/08/2021 18:36:02.642141;05/08/2021 18:36:12.652699;8
05/08/2021 18:36:19.179374;05/08/2021 18:36:29.186336;9
05/08/2021 18:36:35.315011;05/08/2021 18:36:45.322387;10
05/08/2021 18:36:51.398649;05/08/2021 18:37:01.406487;11
05/08/2021 18:37:08.621348;05/08/2021 18:37:18.630385;12
05/08/2021 18:37:24.715142;05/08/2021 18:37:34.722411;13
05/08/2021 18:37:43.136867;05/08/2021 18:37:53.147380;14
05/08/2021 18:38:00.656466;05/08/2021 18:38:10.666394;15
05/08/2021 18:38:16.677547;05/08/2021 18:38:26.686385;0
05/08/2021 18:38:42.844509;05/08/2021 18:38:52.854514;1
05/08/2021 18:39:00.592931;05/08/2021 18:39:10.602379;2
05/08/2021 18:39:18.132819;05/08/2021 18:39:28.143458;3
05/08/2021 18:39:34.880216;05/08/2021 18:39:44.890787;4
05/08/2021 18:39:53.040946;05/08/2021 18:40:03.050471;5
05/08/2021 18:40:12.426838;05/08/2021 18:40:22.437441;6
05/08/2021 18:40:29.979788;05/08/2021 18:40:39.986323;7
05/08/2021 18:40:47.551969;05/08/2021 18:40:57.562336;8
05/08/2021 18:41:03.882784;05/08/2021 18:41:13.890375;9
05/08/2021 18:41:20.011944;05/08/2021 18:41:30.022438;10
05/08/2021 18:41:35.942424;05/08/2021 18:41:45.950577;11
05/08/2021 18:41:52.877213;05/08/2021 18:42:02.886466;12
05/08/2021 18:42:09.179312;05/08/2021 18:42:19.186368;13
05/08/2021 18:43:45.887341;05/08/2021 18:43:55.894395;14
05/08/2021 18:44:02.838585;05/08/2021 18:44:12.846371;15
05/08/2021 18:44:21.864690;05/08/2021 18:44:31.874387;0
05/08/2021 18:44:44.562727;05/08/2021 18:44:54.570935;1
05/08/2021 18:45:01.884990;05/08/2021 18:45:11.894384;2
05/08/2021 18:45:18.894963;05/08/2021 18:45:28.895746;3
05/08/2021 18:45:35.985190;05/08/2021 18:45:45.994414;4
05/08/2021 18:45:54.494276;05/08/2021 18:46:04.502377;5
05/08/2021 18:46:12.427176;05/08/2021 18:46:22.434385;6
05/08/2021 18:46:29.791340;05/08/2021 18:46:39.798380;7
05/08/2021 18:46:46.277638;05/08/2021 18:46:56.288845;8
05/08/2021 18:47:02.739403;05/08/2021 18:47:12.746398;9
05/08/2021 18:47:18.645546;05/08/2021 18:47:28.654471;10
05/08/2021 18:47:34.767528;05/08/2021 18:47:44.774406;11
05/08/2021 18:47:51.719391;05/08/2021 18:48:01.729856;12
05/08/2021 18:48:07.955218;05/08/2021 18:48:17.962440;13
05/08/2021 18:48:26.371417;05/08/2021 18:48:36.378339;14
05/08/2021 18:48:44.252416;05/08/2021 18:48:54.262350;15
05/08/2021 18:49:00.831021;05/08/2021 18:49:10.842397;0
05/08/2021 18:49:26.955547;05/08/2021 18:49:36.962501;1
05/08/2021 18:49:44.651829;05/08/2021 18:49:54.662407;2
05/08/2021 18:50:01.871517;05/08/2021 18:50:11.878384;3
05/08/2021 18:50:18.786759;05/08/2021 18:50:28.795684;4
05/08/2021 18:50:37.348687;05/08/2021 18:50:47.359243;5
05/08/2021 18:50:56.617955;05/08/2021 18:51:06.629018;6
05/08/2021 18:51:14.426443;05/08/2021 18:51:24.434407;7
05/08/2021 18:51:31.722339;05/08/2021 18:51:41.732940;8
05/08/2021 18:51:48.306051;05/08/2021 18:51:58.314381;9
05/08/2021 18:52:04.147156;05/08/2021 18:52:14.154361;10
05/08/2021 18:52:20.188791;05/08/2021 18:52:30.199378;11
05/08/2021 18:52:38.194617;05/08/2021 18:52:48.202381;12
05/08/2021 18:52:55.014968;05/08/2021 18:53:05.022377;13
05/08/2021 18:53:13.293323;05/08/2021 18:53:23.302562;14
05/08/2021 18:53:30.601456;05/08/2021 18:53:40.610355;15
05/08/2021 18:53:46.705271;05/08/2021 18:53:56.714340;0
05/08/2021 18:54:16.059299;05/08/2021 18:54:26.066437;1
05/08/2021 18:54:34.053908;05/08/2021 18:54:44.064503;2
05/08/2021 18:54:51.130964;05/08/2021 18:55:01.138424;3
05/08/2021 18:55:09.902454;05/08/2021 18:55:19.910411;4
05/08/2021 18:55:28.645745;05/08/2021 18:55:38.654385;5
05/08/2021 18:55:47.928335;05/08/2021 18:55:57.938416;6
05/08/2021 18:56:05.195016;05/08/2021 18:56:15.202376;7
05/08/2021 18:56:22.254566;05/08/2021 18:56:32.265163;8
05/08/2021 18:56:38.906973;05/08/2021 18:56:48.914337;9
05/08/2021 18:56:55.048303;05/08/2021 18:57:05.058385;10
05/08/2021 18:57:10.985571;05/08/2021 18:57:20.995565;11
05/08/2021 18:57:27.996748;05/08/2021 18:57:38.006329;12
05/08/2021 18:57:44.162330;05/08/2021 18:57:54.170359;13
