58.5;25.7;05/08/2021 17:12:03.934724
58.5;25.7;05/08/2021 17:12:05.937654
58.5;25.7;05/08/2021 17:12:07.940453
58.5;25.7;05/08/2021 17:12:09.947278
58.5;25.7;05/08/2021 17:12:11.950130
58.5;25.7;05/08/2021 17:12:13.956886
58.5;25.7;05/08/2021 17:12:15.959963
58.5;25.7;05/08/2021 17:12:17.966633
58.5;25.7;05/08/2021 17:12:19.969652
58.5;25.7;05/08/2021 17:12:21.972347
58.5;25.7;05/08/2021 17:12:23.979207
58.5;25.7;05/08/2021 17:12:25.982043
58.5;25.7;05/08/2021 17:12:27.988842
58.5;25.7;05/08/2021 17:12:29.991799
58.4;25.7;05/08/2021 17:12:31.998477
58.4;25.7;05/08/2021 17:12:34.001367
58.4;25.7;05/08/2021 17:12:36.004142
58.4;25.7;05/08/2021 17:12:38.010973
58.4;25.7;05/08/2021 17:12:40.013827
58.5;25.7;05/08/2021 17:12:42.020780
58.5;25.7;05/08/2021 17:12:44.023494
58.5;25.7;05/08/2021 17:12:46.026370
58.5;25.7;05/08/2021 17:12:48.033259
58.5;25.7;05/08/2021 17:12:50.035993
58.7;26.0;05/08/2021 17:12:52.043040
58.5;25.7;05/08/2021 17:12:54.045631
58.5;25.7;05/08/2021 17:12:56.052538
58.5;25.7;05/08/2021 17:12:58.055429
58.4;25.7;05/08/2021 17:13:00.058253
58.4;25.7;05/08/2021 17:13:02.064970
58.4;25.7;05/08/2021 17:13:04.067859
58.4;25.7;05/08/2021 17:13:06.074650
58.4;25.7;05/08/2021 17:13:08.077628
58.4;25.7;05/08/2021 17:13:10.084319
58.4;25.7;05/08/2021 17:13:12.087299
58.4;25.7;05/08/2021 17:13:14.090154
58.4;25.7;05/08/2021 17:13:16.096828
58.4;25.7;05/08/2021 17:13:18.099701
58.4;25.7;05/08/2021 17:13:20.106495
58.4;25.7;05/08/2021 17:13:22.109274
58.4;25.7;05/08/2021 17:13:24.112398
58.4;25.7;05/08/2021 17:13:26.119065
58.4;25.7;05/08/2021 17:13:28.121982
58.4;25.7;05/08/2021 17:13:30.128624
58.4;25.7;05/08/2021 17:13:32.131507
58.4;25.7;05/08/2021 17:13:34.134340
58.4;25.7;05/08/2021 17:13:36.141225
58.4;25.7;05/08/2021 17:13:38.143990
58.4;25.7;05/08/2021 17:13:40.150804
58.4;25.7;05/08/2021 17:13:42.153797
58.4;25.7;05/08/2021 17:13:44.156477
58.4;25.7;05/08/2021 17:13:46.163465
58.4;25.7;05/08/2021 17:13:48.166224
58.4;25.7;05/08/2021 17:13:50.173152
58.4;25.7;05/08/2021 17:13:52.175879
58.4;25.7;05/08/2021 17:13:54.182758
58.4;25.7;05/08/2021 17:13:56.185515
58.4;25.7;05/08/2021 17:13:58.188425
58.4;25.7;05/08/2021 17:14:00.195178
58.4;25.7;05/08/2021 17:14:02.197982
58.4;25.7;05/08/2021 17:14:04.204802
58.4;25.7;05/08/2021 17:14:06.207724
58.4;25.7;05/08/2021 17:14:08.210544
58.4;25.7;05/08/2021 17:14:10.217335
58.4;25.7;05/08/2021 17:14:12.220241
58.4;25.7;05/08/2021 17:14:14.227013
58.4;25.7;05/08/2021 17:14:16.229805
58.4;25.7;05/08/2021 17:14:18.232713
58.4;25.7;05/08/2021 17:14:20.239526
58.4;25.7;05/08/2021 17:14:22.242416
58.4;25.7;05/08/2021 17:14:24.249166
58.4;25.7;05/08/2021 17:14:26.252056
58.4;25.7;05/08/2021 17:14:28.254914
58.4;25.7;05/08/2021 17:14:30.261658
58.4;25.7;05/08/2021 17:14:32.264574
58.4;25.7;05/08/2021 17:14:34.271363
58.4;25.7;05/08/2021 17:14:36.274369
58.4;25.7;05/08/2021 17:14:38.281048
58.4;25.7;05/08/2021 17:14:40.283880
58.4;25.7;05/08/2021 17:14:42.286783
58.4;25.7;05/08/2021 17:14:44.293532
58.4;25.7;05/08/2021 17:14:46.296535
58.4;25.7;05/08/2021 17:14:48.303169
58.4;25.7;05/08/2021 17:14:50.306072
58.4;25.7;05/08/2021 17:14:52.308879
58.4;25.7;05/08/2021 17:14:54.315714
58.4;25.7;05/08/2021 17:14:56.318556
58.4;25.7;05/08/2021 17:14:58.325463
58.4;25.7;05/08/2021 17:15:00.328335
58.4;25.7;05/08/2021 17:15:02.331110
58.4;25.7;05/08/2021 17:15:04.337929
58.4;25.7;05/08/2021 17:15:06.340781
58.4;25.7;05/08/2021 17:15:08.347546
58.4;25.7;05/08/2021 17:15:10.350422
