stop_nr;hum;temp;time;time_start;time_end;sensor_ID;round_nr
44;62.1;25.0;2021-08-05 18:42:01.912412;2021-08-05 18:41:52.877213;2021-08-05 18:42:02.886466;12;2
45;62.1;25.0;2021-08-05 18:42:17.952511;2021-08-05 18:42:09.179312;2021-08-05 18:42:19.186368;13;2
46;62.1;25.0;2021-08-05 18:43:54.198618;2021-08-05 18:43:45.887341;2021-08-05 18:43:55.894395;14;2
47;62.1;25.0;2021-08-05 18:44:12.243561;2021-08-05 18:44:02.838585;2021-08-05 18:44:12.846371;15;2
48;62.1;25.0;2021-08-05 18:44:30.292052;2021-08-05 18:44:21.864690;2021-08-05 18:44:31.874387;0;3
49;62.3;25.0;2021-08-05 18:44:54.354627;2021-08-05 18:44:44.562727;2021-08-05 18:44:54.570935;1;3
50;62.3;25.0;2021-08-05 18:45:10.400611;2021-08-05 18:45:01.884990;2021-08-05 18:45:11.894384;2;3
51;62.0;24.9;2021-08-05 18:45:28.453796;2021-08-05 18:45:18.894963;2021-08-05 18:45:28.895746;3;3
52;61.8;24.9;2021-08-05 18:45:44.498922;2021-08-05 18:45:35.985190;2021-08-05 18:45:45.994414;4;3
53;61.9;24.9;2021-08-05 18:46:02.547404;2021-08-05 18:45:54.494276;2021-08-05 18:46:04.502377;5;3
54;62.1;24.9;2021-08-05 18:46:20.599233;2021-08-05 18:46:12.427176;2021-08-05 18:46:22.434385;6;3
55;62.0;25.0;2021-08-05 18:46:38.646878;2021-08-05 18:46:29.791340;2021-08-05 18:46:39.798380;7;3
56;62.1;25.0;2021-08-05 18:46:54.690892;2021-08-05 18:46:46.277638;2021-08-05 18:46:56.288845;8;3
57;62.1;25.0;2021-08-05 18:47:12.741903;2021-08-05 18:47:02.739403;2021-08-05 18:47:12.746398;9;3
58;62.1;25.0;2021-08-05 18:47:26.782046;2021-08-05 18:47:18.645546;2021-08-05 18:47:28.654471;10;3
59;62.1;25.0;2021-08-05 18:47:42.825354;2021-08-05 18:47:34.767528;2021-08-05 18:47:44.774406;11;3
60;62.1;25.0;2021-08-05 18:48:00.872107;2021-08-05 18:47:51.719391;2021-08-05 18:48:01.729856;12;3
